iter	Passed	Remaining
0	1	175
1	3	175
2	4	157
3	6	145
4	7	138
5	8	131
6	9	125
7	10	119
8	11	114
9	12	110
10	13	106
11	14	103
12	15	100
13	15	97
14	16	96
15	17	94
16	19	93
17	20	91
18	21	89
19	22	88
20	22	86
21	23	84
22	24	82
23	25	81
24	26	79
25	27	78
26	28	76
27	29	75
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	65
36	38	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	50	46
52	51	46
53	52	45
54	53	44
55	54	42
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	58	36
62	60	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	64	28
69	65	28
70	66	26
71	66	25
72	67	24
73	68	24
74	69	23
75	69	22
76	70	20
77	71	20
78	72	19
79	73	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	87	0
