iter	Passed	Remaining
0	139	139284
1	142	71125
2	144	48161
3	147	36669
4	149	29805
5	152	25281
6	154	21960
7	156	19380
8	157	17363
9	158	15720
10	159	14371
11	161	13260
12	162	12327
13	164	11550
14	165	10864
15	167	10293
16	168	9732
17	169	9233
18	170	8780
19	170	8365
20	171	7989
21	171	7643
22	172	7332
23	173	7047
24	173	6785
25	174	6545
26	175	6324
27	176	6114
28	177	5928
29	178	5763
30	179	5601
31	180	5463
32	181	5327
33	182	5183
34	183	5052
35	183	4924
36	184	4803
37	185	4692
38	186	4585
39	186	4482
40	187	4387
41	188	4293
42	188	4203
43	189	4118
44	190	4039
45	191	3968
46	192	3900
47	193	3835
48	194	3779
49	195	3717
50	196	3655
51	197	3593
52	197	3534
53	198	3476
54	199	3421
55	199	3367
56	200	3317
57	201	3268
58	201	3221
59	202	3175
60	203	3129
61	203	3086
62	204	3048
63	206	3016
64	207	2980
65	208	2951
66	209	2915
67	209	2877
68	210	2842
69	211	2806
70	211	2772
71	212	2739
72	213	2707
73	213	2676
74	214	2646
75	215	2615
76	215	2586
77	216	2558
78	217	2530
79	217	2504
80	218	2483
81	219	2459
82	220	2438
83	222	2425
84	223	2403
85	224	2381
86	224	2359
87	225	2339
88	226	2318
89	227	2297
90	227	2276
91	228	2256
92	229	2236
93	229	2216
94	230	2196
95	231	2179
96	232	2163
97	233	2152
98	234	2138
99	236	2127
100	237	2112
101	237	2095
102	238	2079
103	239	2065
104	240	2050
105	241	2035
106	242	2019
107	242	2004
108	243	1989
109	244	1974
110	244	1959
111	245	1946
112	246	1933
113	247	1922
114	248	1910
115	250	1909
116	251	1901
117	268	2008
118	269	1994
119	270	1981
120	271	1974
121	272	1960
122	273	1947
123	273	1934
124	274	1921
125	275	1908
126	275	1896
127	276	1886
128	278	1877
129	279	1868
130	280	1861
131	281	1851
132	282	1841
133	283	1829
134	283	1818
135	284	1807
136	285	1796
137	285	1785
138	286	1774
139	287	1764
140	287	1753
141	288	1743
142	288	1730
143	289	1720
144	290	1711
145	291	1705
146	292	1697
147	293	1692
148	295	1687
149	296	1678
150	296	1669
151	297	1658
152	297	1649
153	298	1640
154	299	1631
155	299	1623
156	300	1614
157	301	1605
158	301	1597
159	302	1588
160	303	1579
161	303	1569
162	304	1561
163	304	1554
164	305	1548
165	306	1541
166	308	1539
167	309	1532
168	310	1525
169	310	1517
170	311	1510
171	311	1501
172	312	1494
173	312	1485
174	313	1478
175	314	1471
176	314	1464
177	315	1457
178	316	1450
179	316	1443
180	317	1436
181	318	1430
182	319	1426
183	320	1422
184	321	1417
185	322	1412
186	323	1407
187	324	1400
188	324	1394
189	325	1388
190	326	1381
191	326	1375
192	327	1368
193	327	1362
194	328	1355
195	328	1348
196	329	1341
197	329	1335
198	330	1329
199	330	1322
200	331	1316
201	331	1311
202	333	1308
203	334	1304
204	335	1302
205	336	1298
206	337	1293
207	338	1288
208	338	1282
209	339	1277
210	340	1272
211	340	1267
212	341	1260
213	341	1255
214	342	1249
215	342	1243
216	343	1238
217	343	1233
218	344	1228
219	344	1222
220	345	1217
221	346	1212
222	347	1209
223	348	1206
224	348	1201
225	349	1198
226	350	1194
227	351	1189
228	352	1185
229	352	1180
230	353	1175
231	353	1170
232	353	1164
233	354	1159
234	354	1155
235	355	1150
236	355	1145
237	356	1140
238	356	1135
239	357	1131
240	357	1126
241	358	1121
242	358	1116
243	359	1112
244	359	1108
245	360	1104
246	361	1100
247	362	1097
248	363	1095
249	364	1092
250	365	1090
251	366	1087
252	367	1084
253	368	1080
254	368	1077
255	369	1074
256	370	1071
257	371	1067
258	371	1062
259	371	1058
260	372	1054
261	372	1050
262	373	1046
263	373	1042
264	375	1041
265	377	1042
266	387	1062
267	387	1058
268	388	1055
269	389	1053
270	390	1049
271	391	1047
272	392	1044
273	392	1040
274	393	1037
275	394	1033
276	394	1030
277	395	1027
278	396	1024
279	396	1020
280	397	1017
281	398	1013
282	399	1010
283	399	1007
284	400	1003
285	400	1000
286	401	997
287	403	996
288	404	994
289	404	990
290	406	989
291	406	986
292	407	982
293	408	980
294	408	977
295	409	973
296	409	969
297	410	966
298	411	963
299	411	960
300	412	957
301	413	954
302	413	951
303	414	948
304	414	944
305	415	941
306	416	939
307	417	937
308	418	935
309	418	931
310	419	930
311	420	927
312	421	924
313	421	921
314	422	918
315	423	915
316	423	912
317	424	910
318	425	907
319	425	904
320	426	901
321	427	899
322	427	896
323	428	893
324	429	891
325	429	888
326	430	886
327	431	884
328	432	882
329	433	880
330	434	877
331	434	874
332	435	872
333	436	869
334	436	866
335	437	864
336	438	861
337	438	859
338	439	856
339	440	854
340	441	852
341	441	849
342	442	847
343	443	845
344	443	842
345	444	841
346	446	839
347	447	837
348	448	835
349	448	833
350	449	831
351	449	828
352	450	826
353	451	823
354	452	822
355	453	820
356	454	818
357	455	816
358	455	814
359	456	811
360	457	809
361	458	808
362	459	807
363	461	805
364	461	803
365	462	801
366	463	799
367	464	797
368	465	795
369	466	794
370	467	792
371	468	790
372	469	788
373	469	786
374	470	784
375	471	782
376	472	780
377	474	780
378	475	778
379	475	776
380	476	774
381	477	772
382	478	770
383	478	768
384	479	766
385	480	764
386	481	762
387	481	760
388	482	758
389	483	756
390	484	754
391	484	752
392	485	749
393	486	748
394	488	748
395	490	747
396	490	745
397	491	743
398	492	742
399	493	740
400	494	738
401	495	736
402	496	735
403	497	733
404	497	731
405	498	729
406	499	728
407	500	726
408	501	724
409	502	723
410	504	722
411	506	723
412	507	721
413	508	719
414	509	717
415	509	715
416	510	713
417	511	711
418	512	709
419	512	708
420	513	706
421	514	704
422	514	702
423	516	701
424	517	699
425	518	698
426	519	697
427	520	695
428	521	693
429	522	692
430	523	690
431	523	688
432	524	687
433	525	685
434	526	683
435	526	681
436	527	679
437	528	677
438	529	676
439	530	675
440	531	674
441	533	673
442	534	672
443	535	670
444	536	669
445	537	667
446	538	665
447	538	664
448	539	662
449	540	660
450	541	658
451	541	656
452	542	655
453	543	653
454	545	653
455	547	653
456	549	652
457	549	650
458	550	649
459	551	647
460	552	645
461	552	643
462	553	642
463	554	640
464	555	638
465	555	636
466	556	635
467	557	633
468	558	632
469	559	630
470	560	629
471	561	628
472	562	626
473	563	625
474	564	623
475	564	621
476	565	620
477	566	618
478	567	616
479	568	615
480	568	613
481	569	612
482	570	610
483	571	608
484	571	607
485	573	606
486	573	604
487	574	603
488	575	601
489	576	600
490	577	598
491	578	596
492	578	595
493	579	593
494	580	591
495	580	590
496	581	588
497	582	586
498	582	585
499	583	583
500	584	581
501	585	580
502	586	579
503	587	578
504	588	576
505	589	575
506	590	574
507	591	572
508	592	571
509	592	569
510	593	568
511	594	566
512	595	564
513	595	563
514	596	561
515	597	560
516	597	558
517	598	556
518	599	555
519	599	553
520	600	552
521	601	551
522	602	549
523	603	548
524	604	547
525	605	545
526	605	543
527	606	542
528	607	540
529	608	539
530	608	537
531	609	536
532	610	534
533	610	532
534	611	531
535	612	529
536	612	528
537	613	526
538	614	525
539	614	523
540	615	522
541	616	521
542	617	519
543	618	518
544	619	517
545	620	515
546	620	514
547	621	512
548	621	510
549	622	509
550	624	508
551	624	507
552	625	505
553	626	504
554	627	502
555	627	501
556	628	499
557	629	498
558	630	497
559	632	496
560	633	495
561	633	494
562	634	492
563	635	491
564	636	489
565	636	488
566	637	486
567	638	485
568	639	484
569	639	482
570	640	481
571	641	479
572	641	478
573	642	476
574	643	475
575	643	474
576	645	472
577	646	471
578	647	470
579	647	469
580	648	467
581	649	466
582	649	464
583	650	463
584	651	461
585	651	460
586	652	459
587	653	457
588	653	456
589	654	454
590	655	453
591	655	451
592	656	450
593	657	449
594	657	447
595	659	446
596	660	445
597	661	444
598	662	443
599	662	441
600	663	440
601	664	439
602	664	437
603	665	436
604	666	434
605	666	433
606	667	432
607	668	430
608	669	429
609	670	428
610	671	427
611	673	426
612	674	425
613	675	424
614	676	423
615	677	422
616	678	420
617	678	419
618	679	418
619	680	416
620	680	415
621	681	414
622	682	412
623	682	411
624	683	410
625	684	408
626	684	407
627	685	406
628	686	404
629	687	403
630	688	402
631	689	401
632	690	400
633	691	398
634	691	397
635	692	396
636	693	394
637	693	393
638	694	392
639	695	390
640	695	389
641	696	388
642	697	387
643	698	386
644	699	385
645	700	383
646	700	382
647	701	381
648	703	380
649	704	379
650	705	378
651	705	376
652	706	375
653	707	374
654	707	372
655	708	371
656	709	370
657	710	369
658	710	367
659	711	366
660	712	365
661	713	364
662	713	362
663	714	361
664	715	360
